key,label,frequency
sabar,1,7
yaa,1,8
insya,1,3
allah,1,25
buka,1,9
pintu,1,1
syurga,1,1
halang,1,1
api,1,1
neraka,1,1
orang,1,27
tua,1,6
lagu,1,10
mbak,1,19
tata,1,3
kisah,1,5
nyata,1,9
rumah,1,9
tangga,1,2
bener,1,7
sayang,1,13
get,1,3
suami,1,18
syukur,1,8
moga,1,54
awet,1,2
komen,1,4
si,1,10
ga,1,45
sedih,1,7
ketawa,1,3
ya,1,54
iya,1,3
klo,1,20
dah,1,7
sakit,1,5
sm,1,15
pasang,1,10
smpe,1,3
larut,1,2
ngapain,1,1
sih,1,14
ampe,1,1
depresi,1,1
serahin,1,1
aja,1,32
bawa,1,4
happy,1,5
mski,1,1
mba,1,15
senyum,1,6
wajah,1,6
tp,1,15
hati,1,19
tau,1,9
bs,1,5
jd,1,17
menetralisir,1,1
kondisi,1,2
lg,1,9
puruk,1,1
pepatah,1,2
bilang,1,8
bahagia,1,19
jgn,1,6
trllu,1,2
imbang,1,1
biar,1,6
gila,1,5
suka,1,33
banget,1,69
gigi,1,4
raffi,1,1
keluarga,1,29
sakinnah,1,1
mawaddah,1,2
warrahmah,1,1
pisah,1,4
jodoh,1,9
maut,1,2
amiin,1,2
jemima,1,2
anak,1,44
angkat,1,1
celine,1,3
eleeya,1,1
hubung,1,2
dirly,1,1
haru,1,2
panti,1,1
asuh,1,1
rawat,1,1
wajar,1,6
stefen,1,1
pilih,1,8
karna,1,8
lucu,1,12
blg,1,3
stefan,1,2
menghabiskn,1,1
muda,1,9
wkwk,1,1
umur,1,11
mah,1,3
gak,1,29
muka,1,9
baby,1,1
face,1,1
bonus,1,8
celinenya,1,1
dlu,1,4
mantan,1,3
begimane,1,1
ude,1,1
pacran,1,1
mcam,1,1
laki,1,7
bini,1,1
hiks,1,1
lepas,1,2
tu,1,1
deh,1,17
susah,1,4
ambil,1,3
putus,1,4
kaya,1,13
tipical,1,1
cowo,1,2
tnggung,1,1
jwabnya,1,1
keenan,1,1
raisa,1,5
udah,1,22
ngedapetin,1,1
super,1,5
ngemong,1,1
mature,1,1
hamish,1,4
dewasa,1,5
banding,1,2
wanita,1,2
mikirin,1,1
gue,1,11
untung,1,11
istri,1,14
gagal,1,2
move,1,1
congratz,1,1
nikah,1,14
sakinah,1,1
mawadah,1,1
warahmah,1,2
cantik,1,43
yaaa,1,4
artis,1,14
tonjol,1,2
kalo,1,19
mewah,1,2
